"Data";"A25 - Delft3D";"A25 - Model A";"A25 - Model B";"A35 - Delft3D";"A35 - Model A";"A35 - Model B";"B12 - Delft3D";"B12 - Model A";"B12 - Model B";"T25 - Delft3D";"T25 - Model A";"T25 - Model B";"T35 - Delft3D";"T35 - Model A";"T35 - Model B"
2012-02-29;0,1322361;0,0462200643444853;0,112530517208542;0,145696;0,0717027090086031;0,174577194515028;0,0607648;0,0262167126174052;0,0637614942504283;0,1058785;0,0399804867415428;0,097325577876501;0,09712869;0,05183044084461;0,126215803980145
2012-03-01;0,1309352;0,0468884595480202;0,113409605995014;0,146013;0,0727396125149377;0,175940988380147;0,0608017;0,0265958363857177;0,0642592486815782;0,10483505;0,0405586504882194;0,0980858751303142;0,09722738;0,0525799685345638;0,127201805230314
2012-03-02;0,129183;0,0471262891724652;0,114207718406889;0,146541;0,0731085654490597;0,17717915656577;0,0609065;0,0267307369100767;0,0647114777268294;0,1034383;0,0407643737878669;0,0987761361225552;0,09744714;0,0528466668712216;0,128096980902568
2012-03-03;0,1277174;0,0474594846269983;0,115036219011561;0,149563;0,0736254625381964;0,178464470762618;0,0618664;0,026919730361315;0,0651809004357973;0,1022308;0,0410525888010053;0,0994926804363715;0,09915524;0,0532203069243197;0,129026242387019
2012-03-04;0,1268913;0,0476650786284423;0,115787720530026;0,150736;0,0739444072880259;0,179630333257767;0,0622241;0,0270363463575963;0,0656068164210763;0,10155699;0,0412304281953343;0,100142632731459;0,09978989;0,0534508567489679;0,12986914236501
2012-03-05;0,1264492;0,0477889951234667;0,116592077935756;0,149194;0,0741366430304489;0,180878194423563;0,0616524;0,0271066336491587;0,0660628181191022;0,1012156;0,0413376163149669;0,100838297909863;0,09880922;0,0535898147243866;0,130771325314989
2012-03-06;0,1252834;0,0477152651369902;0,117309294860164;0,147646;0,0740222632726422;0,181990866307743;0,0610597;0,0270648128967613;0,0664696183937138;0,10030385;0,041273839667561;0,101458595580808;0,09781661;0,0535071350968971;0,13157576835063
2012-03-07;0,1251025;0,0475858433018177;0,117632251834496;0,147552;0,073821486914618;0,182491893301885;0,0609868;0,0269914028938274;0,066652891033113;0,10014532;0,0411618894130868;0,101737908094404;0,09770426;0,0533620035210968;0,13193800336544
2012-03-08;0,1253191;0,0476106935980731;0,118322747274674;0,14807;0,0738600379981451;0,18356311210361;0,061098;0,0270054983539836;0,0670444135297178;0,10027286;0,041183384989825;0,102335095682325;0,09792572;0,0533898702458256;0,132712476516112
2012-03-09;0,124951;0,04776064447663;0,11911990485182;0,147077;0,0740926617377101;0,18479980569396;0,0607021;0,0270905527377368;0,0674962876433108;0,0999744;0,0413130929250486;0,1030245343774;0,09725966;0,0535580227625057;0,133606584772651
2012-03-10;0,1282266;0,0478382802692094;0,119842085835472;0,147077;0,0742131007012409;0,185920181566111;0,0606736;0,0271345889218431;0,0679057265871239;0,10248513;0,0413802481058107;0,103649126268801;0,09725391;0,0536450822984839;0,134416597350225
2012-03-11;0,12755;0,0477700433260799;0,120369065919896;0,148455;0,0741072424826026;0,186737728245752;0,0610973;0,0270958839058876;0,0682045956050338;0,10192138;0,0413212229564786;0,104104893696265;0,09800805;0,0535685624819398;0,135007670072007
2012-03-12;0,125644;0,0478023866448639;0,120270752309155;0,148187;0,0741574177389125;0,186585207243039;0,0608707;0,0271142295206262;0,0681487533338148;0,10038772;0,0413492000189549;0,104019860563614;0,09766702;0,0536048317622779;0,134897402450819
2012-03-13;0,1276482;0,0476279405011841;0,119998899120197;0,148485;0,0738867936873162;0,186163461764093;0,0608931;0,0270152810556915;0,0679947239727932;0,10188823;0,0411983036099295;0,103784737372573;0,09777062;0,0534092106471021;0,134592490497216
