;Data;Cenario;Delft3D;Model A;Model B
1518;30/10/2012;A25;NA;0,063333929;0,16662152
1523;31/10/2012;A25;NA;0,064145219;0,16675305
1528;01/11/2012;A25;NA;0,064263432;0,166787008
1533;02/11/2012;A25;NA;0,064156049;0,166373666
1538;03/11/2012;A25;NA;0,063970266;0,165927878
1543;04/11/2012;A25;NA;0,064644317;0,165751725
1548;05/11/2012;A25;NA;0,064442447;0,165504062
1553;06/11/2012;A25;NA;0,064132919;0,165011382
1558;07/11/2012;A25;NA;0,064143546;0,164844262
1563;08/11/2012;A25;NA;0,064200404;0,164860071
1568;09/11/2012;A25;NA;0,06430548;0,164872512
1573;10/11/2012;A25;NA;0,064328613;0,164854884
1578;11/11/2012;A25;NA;0,064229814;0,164816222
1583;12/11/2012;A25;NA;0,064194751;0,164628682
1588;13/11/2012;A25;NA;0,064422102;0,164547942
1593;14/11/2012;A25;NA;0,064267686;0,16436182
1598;15/11/2012;A25;NA;0,063715587;0,163630536
1603;16/11/2012;A25;NA;0,063565726;0,163482354
1608;17/11/2012;A25;NA;0,063314357;0,162878696
1613;18/11/2012;A25;NA;0,063011771;0,162254465
1618;19/11/2012;A25;NA;0,063008531;0,162179055
1623;20/11/2012;A25;NA;0,063126465;0,162123803
1628;21/11/2012;A25;NA;0,063117857;0,162029431
1633;22/11/2012;A25;NA;0,063261107;0,161976115
1638;23/11/2012;A25;NA;0,063533885;0,161931727
1643;24/11/2012;A25;NA;0,063670648;0,161841211
1648;25/11/2012;A25;NA;0,063523148;0,16130868
1653;26/11/2012;A25;NA;0,06385026;0,161346841
1658;27/11/2012;A25;NA;0,064085035;0,161215191
1663;28/11/2012;A25;NA;0,06427247;0,161089114
1668;29/11/2012;A25;NA;0,064324196;0,160932476
1673;30/11/2012;A25;NA;0,064249007;0,160603943
1678;01/12/2012;A25;NA;0,063861017;0,159896188
1683;02/12/2012;A25;NA;0,06361987;0,159217912
1688;03/12/2012;A25;NA;0,063645676;0,158926559
1693;04/12/2012;A25;NA;0,064285827;0,158859926
1698;05/12/2012;A25;NA;0,064039805;0,158433504
1703;06/12/2012;A25;NA;0,063957017;0,158214737
1708;07/12/2012;A25;NA;0,063783895;0,157849143
1713;08/12/2012;A25;NA;0,063968234;0,157255741
1718;09/12/2012;A25;NA;0,064137329;0,156694368
1723;10/12/2012;A25;NA;0,064397263;0,156644622
1728;11/12/2012;A25;NA;0,065194832;0,156769306
1733;12/12/2012;A25;NA;0,065368406;0,156760435
1738;13/12/2012;A25;NA;0,065234234;0,156548211
1743;14/12/2012;A25;NA;0,066338287;0,156652795
1748;15/12/2012;A25;NA;0,066220147;0,156024449
1753;16/12/2012;A25;NA;0,065344957;0,15514611
1758;17/12/2012;A25;NA;0,064861171;0,154809202
1763;18/12/2012;A25;NA;0,065594291;0,154896633
1768;19/12/2012;A25;NA;0,066206977;0,154949836
1773;20/12/2012;A25;NA;0,066213021;0,154967475
1778;21/12/2012;A25;NA;0,066233297;0,155120553
1783;22/12/2012;A25;NA;0,065991222;0,15467792
1788;23/12/2012;A25;NA;0,065766028;0,154336626
1793;24/12/2012;A25;NA;0,065661154;0,15400914
1798;25/12/2012;A25;NA;0,065014459;0,153433889
1803;26/12/2012;A25;NA;0,065037104;0,153519315
1808;27/12/2012;A25;NA;0,064855879;0,153394531
1813;28/12/2012;A25;NA;0,064586372;0,153207538
1818;29/12/2012;A25;NA;0,064195182;0,152765485
1823;30/12/2012;A25;NA;0,063760283;0,152220537
1828;31/12/2012;A25;NA;0,064583998;0,151937687
5;01/01/2012;A35;0,148963;0,064379231;0,138927618
10;02/01/2012;A35;0,14904;0,064813457;0,139191178
15;03/01/2012;A35;0,149299;0,064817118;0,139372914
20;04/01/2012;A35;0,149184;0,065417906;0,139849307
25;05/01/2012;A35;0,149279;0,0655121;0,140029914
30;06/01/2012;A35;0,149663;0,065644997;0,140391725
35;07/01/2012;A35;0,15003;0,065639783;0,140508664
40;08/01/2012;A35;0,149671;0,065950869;0,140844492
45;09/01/2012;A35;0,14972;0,066302808;0,141239738
50;10/01/2012;A35;0,150032;0,066017341;0,141279741
55;11/01/2012;A35;0,15052;0,066089805;0,14137035
60;12/01/2012;A35;0,150787;0,065912182;0,14145291
65;13/01/2012;A35;0,150759;0,067016611;0,142113026
70;14/01/2012;A35;0,150484;0,067574779;0,142602229
75;15/01/2012;A35;0,149805;0,067388483;0,142691782
80;16/01/2012;A35;0,149752;0,067976148;0,143144336
85;17/01/2012;A35;0,149142;0,068064877;0,143253626
90;18/01/2012;A35;0,147502;0,067438454;0,14301359
95;19/01/2012;A35;0,14722;0,067372729;0,142918894
100;20/01/2012;A35;0,14734;0,067528488;0,142956851
105;21/01/2012;A35;0,147549;0,06812075;0,143246014
110;22/01/2012;A35;0,147241;0,067819871;0,143219936
115;23/01/2012;A35;0,147307;0,067175324;0,143023232
120;24/01/2012;A35;0,14791;0,069026534;0,143949569
125;25/01/2012;A35;0,147681;0,069032945;0,144078067
130;26/01/2012;A35;0,146646;0,069162427;0,144280604
135;27/01/2012;A35;0,147004;0,069465755;0,14459537
140;28/01/2012;A35;0,147931;0,069502575;0,144860872
145;29/01/2012;A35;0,145928;0,069654972;0,145240944
150;30/01/2012;A35;0,146243;0,070700982;0,146125963
155;31/01/2012;A35;0,146923;0,072297925;0,147392271
160;01/02/2012;A35;0,146819;0,073620518;0,148699706
165;02/02/2012;A35;0,14708;0,073317163;0,149259566
170;03/02/2012;A35;0,147201;0,072870077;0,149773979
175;04/02/2012;A35;0,146896;0,072397725;0,15041269
180;05/02/2012;A35;0,146682;0,072193201;0,151103758
185;06/02/2012;A35;0,146814;0,072181422;0,151945856
190;07/02/2012;A35;0,147042;0,072055808;0,152675776
195;08/02/2012;A35;0,146605;0,071928783;0,153372232
200;09/02/2012;A35;0,145702;0,071713477;0,154011752
205;10/02/2012;A35;0,14465;0,071787161;0,15465929
210;11/02/2012;A35;0,144136;0,071898365;0,155329575
215;12/02/2012;A35;0,143534;0,071498757;0,155676689
220;13/02/2012;A35;0,143063;0,070863132;0,156507694
225;14/02/2012;A35;0,142666;0,070320798;0,157537731
230;15/02/2012;A35;0,142161;0,06992389;0,15849697
235;16/02/2012;A35;0,140568;0,069285852;0,159304766
240;17/02/2012;A35;0,144315;0,069019195;0,160278174
245;18/02/2012;A35;0,145495;0,068830488;0,161346604
250;19/02/2012;A35;0,146058;0,069083638;0,162596836
255;20/02/2012;A35;0,145227;0,069076804;0,163765948
260;21/02/2012;A35;0,146457;0,071414518;0,166145931
265;22/02/2012;A35;0,147203;0,071341833;0,167393677
270;23/02/2012;A35;0,147522;0,071173336;0,168407128
275;24/02/2012;A35;0,148541;0,070659045;0,169176111
280;25/02/2012;A35;0,148817;0,070756749;0,170191593
285;26/02/2012;A35;0,148593;0,072184152;0,17188739
290;27/02/2012;A35;0,145774;0,071942821;0,17287894
295;28/02/2012;A35;0,145583;0,071785023;0,173752465
300;29/02/2012;A35;0,145696;0,071702709;0,174577195
305;01/03/2012;A35;0,146013;0,072739613;0,175940988
310;02/03/2012;A35;0,146541;0,073108565;0,177179157
315;03/03/2012;A35;0,149563;0,073625463;0,178464471
320;04/03/2012;A35;0,150736;0,073944407;0,179630333
325;05/03/2012;A35;0,149194;0,074136643;0,180878194
330;06/03/2012;A35;0,147646;0,074022263;0,181990866
335;07/03/2012;A35;0,147552;0,073821487;0,182491893
340;08/03/2012;A35;0,14807;0,073860038;0,183563112
345;09/03/2012;A35;0,147077;0,074092662;0,184799806
350;10/03/2012;A35;0,147077;0,074213101;0,185920182
355;11/03/2012;A35;0,148455;0,074107242;0,186737728
360;12/03/2012;A35;0,148187;0,074157418;0,186585207
365;13/03/2012;A35;0,148485;0,073886794;0,186163462
370;14/03/2012;A35;0,149454;0,073782024;0,185937153
375;15/03/2012;A35;0,149593;0,073770732;0,18575869
380;16/03/2012;A35;0,15115;0,073323594;0,185247008
385;17/03/2012;A35;0,150121;0,072958358;0,184896811
390;18/03/2012;A35;0,150252;0,073360881;0,18478118
395;19/03/2012;A35;0,148882;0,073027767;0,18435628
400;20/03/2012;A35;0,145727;0,072870262;0,184009801
405;21/03/2012;A35;0,14613;0,07291105;0,18376229
410;22/03/2012;A35;0,146921;0,072565023;0,183440002
415;23/03/2012;A35;0,148313;0,072107345;0,182930021
420;24/03/2012;A35;0,149109;0,072216019;0,182776042
425;25/03/2012;A35;0,148112;0,071973618;0,182462514
430;26/03/2012;A35;0,147216;0,071741438;0,182146737
435;27/03/2012;A35;0,147119;0,071535336;0,181837176
440;28/03/2012;A35;0,147817;0,071221849;0,181470494
445;29/03/2012;A35;0,149076;0,071133503;0,181203006
450;30/03/2012;A35;0,150117;0,07097486;0,180876744
455;31/03/2012;A35;0,148363;0,070879917;0,180698165
460;01/04/2012;A35;0,146848;0,070617095;0,180436513
465;02/04/2012;A35;0,146026;0,070423436;0,180059754
470;03/04/2012;A35;0,144653;0,070404309;0,17989836
475;04/04/2012;A35;0,143734;0,07075872;0,179790469
480;05/04/2012;A35;0,14356;0,070812364;0,179674855
485;06/04/2012;A35;0,143692;0,070716611;0,179467772
490;07/04/2012;A35;0,145553;0,07048271;0,179229743
495;08/04/2012;A35;0,146602;0,070458376;0,178959554
500;09/04/2012;A35;0,146637;0,070405055;0,178792502
505;10/04/2012;A35;0,145894;0,070726905;0,178815031
510;11/04/2012;A35;0,146305;0,070492312;0,178446548
515;12/04/2012;A35;0,145331;0,070693053;0,178423609
520;13/04/2012;A35;0,144443;0,070805949;0,17840698
525;14/04/2012;A35;0,143911;0,070551905;0,178053242
530;15/04/2012;A35;0,145139;0,070361874;0,177858244
535;16/04/2012;A35;0,1454;0,070536058;0,177710912
540;17/04/2012;A35;0,145539;0,070429027;0,177421901
545;18/04/2012;A35;0,145372;0,070417632;0,178284909
550;19/04/2012;A35;0,144963;0,070356232;0,179202077
555;20/04/2012;A35;0,144337;0,070378561;0,179971342
560;21/04/2012;A35;0,145246;0,070495343;0,180866006
565;22/04/2012;A35;0,145627;0,070803605;0,181705729
570;23/04/2012;A35;0,146772;0,071194741;0,182603452
575;24/04/2012;A35;0,147752;0,071219143;0,18330271
580;25/04/2012;A35;0,146639;0,071368439;0,184062604
585;26/04/2012;A35;0,146752;0,071714933;0,184762726
590;27/04/2012;A35;0,147582;0,07172471;0,185436871
595;28/04/2012;A35;0,148115;0,071607818;0,185899739
600;29/04/2012;A35;0,148338;0,071347881;0,186184736
605;30/04/2012;A35;0,148738;0,071056662;0,186541444
610;01/05/2012;A35;0,148777;0,070823514;0,186639586
615;02/05/2012;A35;0,148284;0,071291339;0,18724522
620;03/05/2012;A35;0,148842;0,071795851;0,187674786
625;04/05/2012;A35;0,149182;0,072806148;0,188560882
630;05/05/2012;A35;0,15006;0,073825242;0,188595163
635;06/05/2012;A35;0,150444;0,073549078;0,188008163
